Name,Department,Overall_Rating,Difficulty,Would_Take_Again_Pct,Num_Ratings,RMP_ID,RMP_URL
Moussa Doumbia,Mathematics,4.3,2.6,84.0909%,44,2332075,https://www.ratemyprofessors.com/professor/2332075
Stacey Patton,Communication,2.7,3.6,38.0952%,41,2522952,https://www.ratemyprofessors.com/professor/2522952
Velma Lapoint,Education,3,3.5,66.6667%,8,601831,https://www.ratemyprofessors.com/professor/601831
Erin Jones,Art History,5,1,100%,1,3026060,https://www.ratemyprofessors.com/professor/3026060
Hemayet Ullah,Biology,2.7,3.7,35.8974%,42,956463,https://www.ratemyprofessors.com/professor/956463
Marcus Singer,English,3.1,3.7,42.8571%,22,907421,https://www.ratemyprofessors.com/professor/907421
Monique Wells,Education,5,3.3,100%,84,1801375,https://www.ratemyprofessors.com/professor/1801375
Yousef Hijji,Chemistry,3.1,3.7,87.5%,7,2837171,https://www.ratemyprofessors.com/professor/2837171
Jamie Barden,Psychology,3.3,3.3,44.4444%,12,1246772,https://www.ratemyprofessors.com/professor/1246772
Jason Matthews,Chemistry,3.5,4.1,66.6667%,49,641594,https://www.ratemyprofessors.com/professor/641594
Johanna Leblanc,Political Science,2.4,4,39.1304%,20,3027854,https://www.ratemyprofessors.com/professor/3027854
Timothy Ramadhar,Chemistry,2.5,4.3,43.75%,15,2525376,https://www.ratemyprofessors.com/professor/2525376
Francis Wiafe-Amoako,African-American Studies,2.5,2.9,33.3333%,14,2839010,https://www.ratemyprofessors.com/professor/2839010
LaTasha Levy,African-American Studies,5,2.3,100%,3,3045884,https://www.ratemyprofessors.com/professor/3045884
Rui Diogo,Biology,0,0,100%,0,2977124,https://www.ratemyprofessors.com/professor/2977124
Emma Chebinou,Languages,4.2,2.6,77.7778%,44,3048927,https://www.ratemyprofessors.com/professor/3048927
Efosa Idemudia,Business,3.4,3.8,60%,9,3072640,https://www.ratemyprofessors.com/professor/3072640
Assya Pascalev,Philosophy,3.4,3.8,65.5172%,40,827503,https://www.ratemyprofessors.com/professor/827503
Reese Faust,Philosophy,4.5,2.1,93.75%,15,2873848,https://www.ratemyprofessors.com/professor/2873848
Dominique Pritchett,Biology,3.8,2.7,58.3333%,11,2446939,https://www.ratemyprofessors.com/professor/2446939
Sean OLoughlin,Mathematics,3.1,2.9,50%,9,2650726,https://www.ratemyprofessors.com/professor/2650726
Tiffany Simmons,Sociology,4,1.8,80%,6,1803599,https://www.ratemyprofessors.com/professor/1803599
Petronella Kigochi,History,1.4,4,9.375%,31,2673140,https://www.ratemyprofessors.com/professor/2673140
Kimberly Collins,English,2.4,4.2,26.3158%,18,2742850,https://www.ratemyprofessors.com/professor/2742850
Daniel Owunwanne,Business,3.2,3.5,70%,16,844217,https://www.ratemyprofessors.com/professor/844217
Aaron Large,Mathematics,5,1.4,100%,14,3051384,https://www.ratemyprofessors.com/professor/3051384
Jiang Li,Computer Science,1.6,4.7,15.3846%,25,2323879,https://www.ratemyprofessors.com/professor/2323879
Daniel Mamo,Mathematics,2.2,3.6,45.4545%,10,3045572,https://www.ratemyprofessors.com/professor/3045572
Gbadebo Owolabi,Engineering,1.5,4.4,10%,10,2413812,https://www.ratemyprofessors.com/professor/2413812
Cathy Jerome,Health & Human Performance,3,2,50%,2,3048013,https://www.ratemyprofessors.com/professor/3048013
Helen De Clercq,Chemistry,3.8,2.7,53.3333%,56,865278,https://www.ratemyprofessors.com/professor/865278
Traci Wyatt,African-American Studies,5,1.3,100%,23,2665723,https://www.ratemyprofessors.com/professor/2665723
Sarah Ingle,English,4.2,1.9,100%,14,2957396,https://www.ratemyprofessors.com/professor/2957396
Oluwafunke Ogunya,Languages,5,2.3,100%,11,2852817,https://www.ratemyprofessors.com/professor/2852817
Trevor Kinlock,Arts & Sciences,5,2.1,100%,10,2770170,https://www.ratemyprofessors.com/professor/2770170
Litonya Livingston,Health  Human Performance,2.2,3.3,22.2222%,10,2128303,https://www.ratemyprofessors.com/professor/2128303
Msia Clark,African Studies,3.6,3,50%,10,1118292,https://www.ratemyprofessors.com/professor/1118292
John-Harold Ahiable,Mathematics,0,0,-1%,0,3117465,https://www.ratemyprofessors.com/professor/3117465
Marlene Morris Towns,Marketing,0,0,-1%,0,3161493,https://www.ratemyprofessors.com/professor/3161493
Summer Brown,Art,5,1,100%,2,2769511,https://www.ratemyprofessors.com/professor/2769511
Cheriss May,Journalism,4,2,100%,1,2579966,https://www.ratemyprofessors.com/professor/2579966
Sean Pears,English,4.7,2.4,84.6154%,26,2644795,https://www.ratemyprofessors.com/professor/2644795
Everett Catlin,Languages,1.9,3.3,0%,25,849138,https://www.ratemyprofessors.com/professor/849138
Dragana Tankosic,Physics,4.2,2,92.8571%,13,2849455,https://www.ratemyprofessors.com/professor/2849455
Jevay Grooms,Economics,3.9,3.2,70%,10,2923960,https://www.ratemyprofessors.com/professor/2923960
Tafessework Gebeyehu,Languages,4.4,2.4,80%,7,2007544,https://www.ratemyprofessors.com/professor/2007544
Sha-Shana Crichton,Law,3.1,4.3,100%,7,1553571,https://www.ratemyprofessors.com/professor/1553571
Kathryn Coney,Art History,5,2,100%,1,2643929,https://www.ratemyprofessors.com/professor/2643929
Shawn Abernathy,Chemistry,1.5,4.6,8.4746%,61,2021721,https://www.ratemyprofessors.com/professor/2021721
Yaminah Gilles,Science,2.5,3.7,38.4615%,13,2824586,https://www.ratemyprofessors.com/professor/2824586
Stephanie Leonard,Business,2.2,3.5,33.3333%,6,2652168,https://www.ratemyprofessors.com/professor/2652168
Kanika Jones,Business,2.1,3,6.6667%,15,2858597,https://www.ratemyprofessors.com/professor/2858597
Mona Oraby,Political Science,1.3,4.3,6.6667%,15,2802132,https://www.ratemyprofessors.com/professor/2802132
Oyemade Bailey,Education,1.9,2.6,37.5%,9,487298,https://www.ratemyprofessors.com/professor/487298
Karthik Balasubramanian,Computer Information Systems,4.1,3.4,85.7143%,7,2426132,https://www.ratemyprofessors.com/professor/2426132
Michael Ogbolu,Business,2.1,4.1,28.5714%,7,2640547,https://www.ratemyprofessors.com/professor/2640547
Raymond Smith,Business,3.4,3.4,57.1429%,7,1268456,https://www.ratemyprofessors.com/professor/1268456
Pinky Shodhan,Business,5,2.4,100%,7,2939877,https://www.ratemyprofessors.com/professor/2939877
Loida McDuffie ,Sociology,4.4,3.4,80%,5,3053937,https://www.ratemyprofessors.com/professor/3053937
Iman Ghalehkhondabi,Computer Information Systems,1.8,4.2,20%,5,3069041,https://www.ratemyprofessors.com/professor/3069041
Ikenna Uzuegbunam,Management,3,5,0%,1,3060105,https://www.ratemyprofessors.com/professor/3060105
Tahar Hajri,Nutritional Sciences,2,2,0%,1,3112183,https://www.ratemyprofessors.com/professor/3112183
Jay Stewart,Political Science,4.3,1.6,84.6154%,31,795162,https://www.ratemyprofessors.com/professor/795162
Khalid Boushaba,Mathematics,3,2.5,54.5455%,25,2054127,https://www.ratemyprofessors.com/professor/2054127
Kenyatta Graves,English,4.5,2.4,87.5%,24,2362881,https://www.ratemyprofessors.com/professor/2362881
Steven Cummings,Chemistry,3.5,4.1,48%,24,2361540,https://www.ratemyprofessors.com/professor/2361540
Barbra Chin,English,2.6,4,31.5789%,19,2056031,https://www.ratemyprofessors.com/professor/2056031
Adrienne Carthon,English,4.1,3.1,75%,19,2346549,https://www.ratemyprofessors.com/professor/2346549
Erin Torbett,English,4.9,2.2,100%,17,2527936,https://www.ratemyprofessors.com/professor/2527936
Nihal Horne,English,5,1.3,100%,11,2941780,https://www.ratemyprofessors.com/professor/2941780
Aaron  Bell,History,4.3,2.5,90%,10,2953473,https://www.ratemyprofessors.com/professor/2953473
Daphne Altema-Johnson,Nutritional Sciences,1.9,3.1,37.5%,8,2837045,https://www.ratemyprofessors.com/professor/2837045
Carolette Norwood-Nishikawa,Sociology,2.7,1.3,42.8571%,7,3048802,https://www.ratemyprofessors.com/professor/3048802
Tina Owens,Accounting,4.7,2.1,100%,7,3052138,https://www.ratemyprofessors.com/professor/3052138
Cheryl Kiken,Humanities,5,3.5,100%,4,2612811,https://www.ratemyprofessors.com/professor/2612811
Jean Claude,Communication,3,1,100%,1,2412886,https://www.ratemyprofessors.com/professor/2412886
Joshua Lowery,Communication,5,2,100%,1,3071572,https://www.ratemyprofessors.com/professor/3071572
Bekele Hirbe,Political Science,2.9,2.6,30%,10,1887936,https://www.ratemyprofessors.com/professor/1887936
Shehu-Alimi Elelu,Chemistry,4.3,1.8,87.5%,8,2896671,https://www.ratemyprofessors.com/professor/2896671
Duane Tobias,Sociology,0,0,100%,0,2973961,https://www.ratemyprofessors.com/professor/2973961
Oladapo Bakare,Chemistry,2.7,4.4,25%,48,701049,https://www.ratemyprofessors.com/professor/701049
Michelle Dovil,Sociology,4.5,2.6,84.7826%,45,2687998,https://www.ratemyprofessors.com/professor/2687998
Trinidad Ballester,Spanish,1.7,4.3,0%,6,3011945,https://www.ratemyprofessors.com/professor/3011945
Rhoda  Arrindell ,English,3.6,2.4,80%,5,3091736,https://www.ratemyprofessors.com/professor/3091736
Dana Williams-Johnson,Business,5,3,50%,2,2837946,https://www.ratemyprofessors.com/professor/2837946
Ingrid  Hayes-Burrell,Business,5,3,100%,1,3140677,https://www.ratemyprofessors.com/professor/3140677
Jules. P Harrell,Psychology,4.4,3.2,82.3529%,33,1303388,https://www.ratemyprofessors.com/professor/1303388
Gerrard Davis,Philosophy,3.4,2.2,60%,30,2761408,https://www.ratemyprofessors.com/professor/2761408
Lila Ammons,African-American Studies,1,4.5,0%,13,2387831,https://www.ratemyprofessors.com/professor/2387831
Dr.Fanella Zamcho,Chemistry,1.3,4.3,0%,10,3102145,https://www.ratemyprofessors.com/professor/3102145
Priscilla Okunji,Nursing,3.7,2.7,0%,7,1867781,https://www.ratemyprofessors.com/professor/1867781
Lancelot Llewellyn Loncke,Economics,3.1,3.3,41.6667%,34,1279530,https://www.ratemyprofessors.com/professor/1279530
Mickey Terry,Fine Arts,2,4.2,11.1111%,27,2042940,https://www.ratemyprofessors.com/professor/2042940
Byron Brown,English,4.7,1.9,100%,18,2643597,https://www.ratemyprofessors.com/professor/2643597
Mayka PuentedeRighi,Languages,3.3,3.4,70%,9,2965939,https://www.ratemyprofessors.com/professor/2965939
Simon Appiah,Mathematics,2.5,3.4,37.5%,8,3051199,https://www.ratemyprofessors.com/professor/3051199
MeGan Hill,Health Science,4.5,1,100%,2,3101405,https://www.ratemyprofessors.com/professor/3101405
Jonathan Opata,Business,4,1,100%,1,3070651,https://www.ratemyprofessors.com/professor/3070651
Idrissa Kader,Mathematics,0,0,100%,0,3048989,https://www.ratemyprofessors.com/professor/3048989
Darian Unger,Business,3.2,3.4,55%,30,1114182,https://www.ratemyprofessors.com/professor/1114182
Gagandeep Kaur,Chemistry,2.9,3.6,53.5714%,27,2820428,https://www.ratemyprofessors.com/professor/2820428
Fanella Zamcho,Chemistry,1.3,4.6,0%,8,3082207,https://www.ratemyprofessors.com/professor/3082207
Rodrigo Martinez,Sociology,5,2,100%,2,2900664,https://www.ratemyprofessors.com/professor/2900664
John Harkless,Chemistry,2.6,4.3,35.7143%,47,483655,https://www.ratemyprofessors.com/professor/483655
Oline Eaton,English,5,1.2,100%,33,2640573,https://www.ratemyprofessors.com/professor/2640573
Alex Nowak,Mathematics,4.7,2.3,100%,18,2640233,https://www.ratemyprofessors.com/professor/2640233
Anthony Anderson,Accounting,1.8,4.1,26.6667%,14,3005266,https://www.ratemyprofessors.com/professor/3005266
Ana Zegarra,Spanish,2.4,2.7,50%,11,2836086,https://www.ratemyprofessors.com/professor/2836086
Gbadebo Odularu,Economics,4,2.8,83.3333%,5,3006969,https://www.ratemyprofessors.com/professor/3006969
Lori Garibay,Nutritional Sciences,3.5,1.5,100%,2,3149435,https://www.ratemyprofessors.com/professor/3149435
Shaline Kirkland ,English,3.9,3.4,58.3333%,11,2859731,https://www.ratemyprofessors.com/professor/2859731
Cheryl Rust,Biology,4.3,2,83.3333%,6,2121751,https://www.ratemyprofessors.com/professor/2121751
Senhuei Chen,Mathematics,2.6,3.9,20%,55,858358,https://www.ratemyprofessors.com/professor/858358
Rachelle Allen-McFarlane,Biology,1.7,4.3,16.6667%,47,2580074,https://www.ratemyprofessors.com/professor/2580074
Leroy Nickie,Health  Human Performance,1.4,3.4,6.6667%,14,2256112,https://www.ratemyprofessors.com/professor/2256112
Carolyn Alleyneperry,Business,1.6,4.5,25%,11,2952016,https://www.ratemyprofessors.com/professor/2952016
William Barbee,Business,2.6,4.6,44.4444%,16,614297,https://www.ratemyprofessors.com/professor/614297
Lanice Williams,Health  Human Performance,3.3,3.2,50%,12,2081441,https://www.ratemyprofessors.com/professor/2081441
Suliman Abu Bader,Social Work,3.4,4.1,0%,11,538602,https://www.ratemyprofessors.com/professor/538602
Julie Diangone-Guyot,Social Work,3.8,2.6,70%,10,2168717,https://www.ratemyprofessors.com/professor/2168717
Ashley Plack O'Donnell,English,3.1,3.3,55.5556%,8,2945393,https://www.ratemyprofessors.com/professor/2945393
Charrose King,Communication,4.3,2.9,75%,7,2652215,https://www.ratemyprofessors.com/professor/2652215
Uvetta Dozier,Biology,2.1,3.5,20%,15,1443257,https://www.ratemyprofessors.com/professor/1443257
Chantel Brooks,Nursing,2.4,3.7,38.4615%,13,2949258,https://www.ratemyprofessors.com/professor/2949258
Tyriq Simmons,Nursing,4.5,2.1,84.6154%,12,2953726,https://www.ratemyprofessors.com/professor/2953726
Matthew Franke,Music,3.7,3.3,57.1429%,6,2642922,https://www.ratemyprofessors.com/professor/2642922
Rebecca Hsu,Economics,2.7,3,25%,3,3096699,https://www.ratemyprofessors.com/professor/3096699
Jean Wells Jessup,Accounting,3.2,4.2,22.2222%,26,916146,https://www.ratemyprofessors.com/professor/916146
Anthony Randolph,Music,4.8,2.2,100%,24,1072805,https://www.ratemyprofessors.com/professor/1072805
Lucy Lim,Accounting,2.2,4.2,21.4286%,19,1327263,https://www.ratemyprofessors.com/professor/1327263
Mazaher Koruzhde,Political Science,3.1,3.6,62.5%,15,2998340,https://www.ratemyprofessors.com/professor/2998340
Wesley Rothman,English,4.6,1.6,86.6667%,14,2945386,https://www.ratemyprofessors.com/professor/2945386
Albert Thompson,History,4.4,2.4,91.6667%,11,2638523,https://www.ratemyprofessors.com/professor/2638523
Mohsen Mosleh,Engineering,4.1,3.5,100%,8,795577,https://www.ratemyprofessors.com/professor/795577
Keilia  Phillips,Nutritional Sciences,1,5,0%,4,2899744,https://www.ratemyprofessors.com/professor/2899744
Bahiyyah Muhammad,Sociology,4.6,2.7,91.8033%,599,1838252,https://www.ratemyprofessors.com/professor/1838252
Jean-Jacques Taty,Languages,2.9,3.8,33.3333%,24,1131922,https://www.ratemyprofessors.com/professor/1131922
Patience Williams,English,4.7,1.5,95%,19,2838737,https://www.ratemyprofessors.com/professor/2838737
Bahiyyah Muhammad,Social Work,4.8,2.2,97.2222%,36,2744122,https://www.ratemyprofessors.com/professor/2744122
Bin Yeh,Mathematics,3.7,3.3,66.6667%,15,2904954,https://www.ratemyprofessors.com/professor/2904954
Nico  Penaranda,English,4.7,2.1,86.6667%,14,2873430,https://www.ratemyprofessors.com/professor/2873430
Blaine Prescott,English,4.9,1,100%,7,3069282,https://www.ratemyprofessors.com/professor/3069282
Jason Perry,Health & Human Performance,2,3,0%,2,2527409,https://www.ratemyprofessors.com/professor/2527409
Deena Khalil,Education,3.5,2.5,33.3333%,2,2312173,https://www.ratemyprofessors.com/professor/2312173
Kevin Modestino,English,3.7,2.5,45.4545%,15,2051833,https://www.ratemyprofessors.com/professor/2051833
Anaxidalia Gonzalez-Nunez,Spanish,2.3,3.3,20%,4,2480051,https://www.ratemyprofessors.com/professor/2480051
Vladimir Talanov,Chemistry,2.6,3.7,51.6129%,37,1989856,https://www.ratemyprofessors.com/professor/1989856
TeyLama Miabey,Mathematics,2.9,3.6,47.619%,25,1932492,https://www.ratemyprofessors.com/professor/1932492
Paola Yuli,Humanities,4,3,100%,1,3147299,https://www.ratemyprofessors.com/professor/3147299
Saki Golafale,Chemistry,4.1,2.6,93.3333%,14,2977822,https://www.ratemyprofessors.com/professor/2977822
Mika  Turim-Nygren,English,5,1.9,100%,8,3025965,https://www.ratemyprofessors.com/professor/3025965
Jarrod Waetjen,Health & Human Performance,4.9,1,100%,7,2502676,https://www.ratemyprofessors.com/professor/2502676
Susan Mockler,English,3.7,2.3,71.4286%,6,2866151,https://www.ratemyprofessors.com/professor/2866151
Nikki Taylor,History,4.7,3.5,71.4286%,6,2507670,https://www.ratemyprofessors.com/professor/2507670
Seanta Cleveland,Health  Human Performance,3.8,2,75%,4,2261398,https://www.ratemyprofessors.com/professor/2261398
Ama  Appiah-Kubi,Communication,2.5,3.5,50%,2,3057968,https://www.ratemyprofessors.com/professor/3057968
Deon Auzenne,Psychology,5,2.5,100%,2,2808958,https://www.ratemyprofessors.com/professor/2808958
James Bridgers,Health & Human Performance,5,1,100%,1,2481287,https://www.ratemyprofessors.com/professor/2481287
Tanmoy Mondal,Biology,4,2,100%,1,3148891,https://www.ratemyprofessors.com/professor/3148891
Nikongo Ba-Nikongo,Ethnic Studies,3.5,2.8,66.6667%,51,547597,https://www.ratemyprofessors.com/professor/547597
Miriam Gyimah,English,2.6,3.7,44.1176%,33,2665740,https://www.ratemyprofessors.com/professor/2665740
Babajide Tella,Political Science,0,0,100%,0,3134678,https://www.ratemyprofessors.com/professor/3134678
Sharee Light,Psychology,0,0,100%,0,3143259,https://www.ratemyprofessors.com/professor/3143259
Alexander McSwain,Art,4.7,2.7,97.9592%,71,1900535,https://www.ratemyprofessors.com/professor/1900535
Lennox Graham,Health Science,4.4,1.4,93.75%,36,1611641,https://www.ratemyprofessors.com/professor/1611641
Shantay Robinson,English,3,2.6,42.1053%,18,2891327,https://www.ratemyprofessors.com/professor/2891327
Almaz Abebe,Mathematics,3.9,2.4,66.6667%,8,3022667,https://www.ratemyprofessors.com/professor/3022667
Savannah Pearlman,Philosophy,4.4,2.2,83.3333%,5,2958025,https://www.ratemyprofessors.com/professor/2958025
Gregory Jackson,Theater,1,4,0%,1,2891878,https://www.ratemyprofessors.com/professor/2891878
Gil  Renberg,Classics,2.5,3.5,23.0769%,12,2860528,https://www.ratemyprofessors.com/professor/2860528
Wesley   Hanson,Classics,5,1.9,100%,8,2913675,https://www.ratemyprofessors.com/professor/2913675
Jordan Hirsch,Mathematics,2.5,3,50%,2,3134635,https://www.ratemyprofessors.com/professor/3134635
Oumou Dat,Languages,4,2,100%,1,3140609,https://www.ratemyprofessors.com/professor/3140609
Jermain McDermott,Mathematics,1.7,4.2,30%,9,3123537,https://www.ratemyprofessors.com/professor/3123537
Achille Messac,Engineering,4.7,3.2,95.122%,41,2171839,https://www.ratemyprofessors.com/professor/2171839
Barbara Griffin,Literature,2.2,4.2,22.5806%,30,2127199,https://www.ratemyprofessors.com/professor/2127199
Brianna Rae Johns,English,4.5,2.1,86.6667%,15,2948789,https://www.ratemyprofessors.com/professor/2948789
Ayanna  Muhammad ,Communication,4.5,3,100%,2,3094016,https://www.ratemyprofessors.com/professor/3094016
Mikki Kashima Reed,Languages,3,3,0%,1,3146855,https://www.ratemyprofessors.com/professor/3146855
Deborah Johnson,Physical Ed,4.2,2.2,66.6667%,40,750757,https://www.ratemyprofessors.com/professor/750757
Naina Bhatia-Dey,Health  Human Performance,2.3,4,27.2727%,11,2205428,https://www.ratemyprofessors.com/professor/2205428
Ana Tallone,Art History,3.8,3.2,60%,5,2871081,https://www.ratemyprofessors.com/professor/2871081
Raymond Butcher,Chemistry,3.9,3.2,73.6842%,47,857823,https://www.ratemyprofessors.com/professor/857823
Oladapo Olalude,Mathematics,1.1,4.6,0%,12,2971295,https://www.ratemyprofessors.com/professor/2971295
Alois Clemons,Health & Human Performance,2,4,0%,1,2943280,https://www.ratemyprofessors.com/professor/2943280
Brandon Hogan,Philosophy,4.3,2.8,81.25%,19,2031503,https://www.ratemyprofessors.com/professor/2031503
Alexander Tulin,Classics,4.1,2.9,79.1667%,47,895000,https://www.ratemyprofessors.com/professor/895000
Stephen Hickson,English,4.9,1.7,100%,22,2527153,https://www.ratemyprofessors.com/professor/2527153
Anton House,History,2.9,2.2,60%,15,2753371,https://www.ratemyprofessors.com/professor/2753371
Hakim Rashid,Education,3.5,1.7,80%,6,2091167,https://www.ratemyprofessors.com/professor/2091167
Laricca London,Biology,2.8,2.8,100%,4,2935207,https://www.ratemyprofessors.com/professor/2935207
Gaminie Meepagala,Economics,2.3,3.8,25%,4,1836195,https://www.ratemyprofessors.com/professor/1836195
Norman Sandridge,Classics,3.4,3.8,35.4839%,61,741001,https://www.ratemyprofessors.com/professor/741001
Iliana Restrepo,Chemistry,2.2,4.4,21.7391%,23,2088255,https://www.ratemyprofessors.com/professor/2088255
MauraClaire Harford,Management,2.8,3.8,40%,5,2847585,https://www.ratemyprofessors.com/professor/2847585
Agnes Denalane,Economics,3.7,2.4,84.4444%,64,792028,https://www.ratemyprofessors.com/professor/792028
Johanna  Kaiser,Humanities,4,1,100%,1,3103516,https://www.ratemyprofessors.com/professor/3103516
Kenneth Morrell,Classics,3,3,0%,1,2818079,https://www.ratemyprofessors.com/professor/2818079
Eric Ruffin,Fine Arts,4,2.4,0%,5,736016,https://www.ratemyprofessors.com/professor/736016
Oritsegbubemi Ayu,Psychology,4.1,2.3,81.6327%,49,2163912,https://www.ratemyprofessors.com/professor/2163912
Rebecca Boylan,English,4,3.4,75%,20,2322191,https://www.ratemyprofessors.com/professor/2322191
Olanrewaju Shitta-Bey,Philosophy,2.6,3.3,33.3333%,12,2789019,https://www.ratemyprofessors.com/professor/2789019
Jeremy Blackstone,Computer Science,4.8,2.3,91.6667%,12,2640220,https://www.ratemyprofessors.com/professor/2640220
Bruce Miller,English,3.6,3.1,50%,8,2898035,https://www.ratemyprofessors.com/professor/2898035
Anamika Rupa,Computer Science,2,3.2,16.6667%,6,2976470,https://www.ratemyprofessors.com/professor/2976470
Rick Seltzer,Political Science,5,2,100%,1,2845628,https://www.ratemyprofessors.com/professor/2845628
Carlton Poindexter,Science,4,3,100%,1,3007028,https://www.ratemyprofessors.com/professor/3007028
Demba Sy,Mathematics,4.2,2.9,84%,75,2142436,https://www.ratemyprofessors.com/professor/2142436
Douglas White,Biology,4.6,1.8,95.122%,41,2730632,https://www.ratemyprofessors.com/professor/2730632
Travis Sharp,English,5,1.7,100%,19,2849458,https://www.ratemyprofessors.com/professor/2849458
Khadeejah  Smith,Mathematics,5,1.5,100%,8,2926109,https://www.ratemyprofessors.com/professor/2926109
Keely  Monge,Accounting,3.5,4,75%,4,2909354,https://www.ratemyprofessors.com/professor/2909354
Deann  Spicer,Philosophy,5,1,100%,1,3141422,https://www.ratemyprofessors.com/professor/3141422
albania tristan,Languages,4.3,2.2,66.6667%,9,2896942,https://www.ratemyprofessors.com/professor/2896942
Kim Bey,Fine Arts,3,3.8,50%,11,736006,https://www.ratemyprofessors.com/professor/736006
Ronnie Manuel,Sociology,2.2,3.7,8.3333%,26,543248,https://www.ratemyprofessors.com/professor/543248
Carolivia Herron,Humanities,3.6,1.9,64.2857%,14,2319129,https://www.ratemyprofessors.com/professor/2319129
PATRICK  OYINDA,Languages,5,2,100%,3,3046242,https://www.ratemyprofessors.com/professor/3046242
Keadrick Peters,Sociology,5,5,100%,1,3127202,https://www.ratemyprofessors.com/professor/3127202
Solyee Kim,Communication,4.6,2.4,71.4286%,8,2979773,https://www.ratemyprofessors.com/professor/2979773
Thomas Ohno-Machado,English,5,1.6,100%,15,2943085,https://www.ratemyprofessors.com/professor/2943085
Nikolai Priezjev,Engineering,4.9,2.7,100%,9,2885519,https://www.ratemyprofessors.com/professor/2885519
Jovon McCalester,Political Science,3.2,2.6,59.2593%,84,1843010,https://www.ratemyprofessors.com/professor/1843010
Peter Fitts,Social Work,5,2,100%,1,1456019,https://www.ratemyprofessors.com/professor/1456019
Marcelo Gomes-Perez,Languages,4.9,1.9,100%,10,2837956,https://www.ratemyprofessors.com/professor/2837956
Robert Scott,Mathematics,2,3,0%,1,3158308,https://www.ratemyprofessors.com/professor/3158308
Meenakshi Nerolu,Mathematics,4.1,3.3,75%,28,2581091,https://www.ratemyprofessors.com/professor/2581091
Denise Streeter,Finance,2.9,4.2,52.381%,21,2308540,https://www.ratemyprofessors.com/professor/2308540
Carolyn Perry,Business,2.4,4.1,45.4545%,12,2952017,https://www.ratemyprofessors.com/professor/2952017
Margaret Crosby,History,3.6,4.1,0%,12,1047192,https://www.ratemyprofessors.com/professor/1047192
Denise Hart,Fine Arts,4.2,2.7,60%,9,1194619,https://www.ratemyprofessors.com/professor/1194619
Laurie Blackman,Health & Human Performance,2.3,2.5,25%,4,2740985,https://www.ratemyprofessors.com/professor/2740985
John-Patrick Ifedi,Political Science,2.7,2.1,25%,43,750575,https://www.ratemyprofessors.com/professor/750575
Arvin Sanders,Psychology,4.8,1.5,100%,37,2436901,https://www.ratemyprofessors.com/professor/2436901
Durronjae Boothe,Economics,5,2.2,100%,6,3047186,https://www.ratemyprofessors.com/professor/3047186
Bruce Clark,Mathematics,2.5,3,37.5%,24,2643154,https://www.ratemyprofessors.com/professor/2643154
Jarrett Brown,English,1.7,4.4,11.1111%,16,1895082,https://www.ratemyprofessors.com/professor/1895082
Sarai Johnson,English,4,2.7,80%,15,2529839,https://www.ratemyprofessors.com/professor/2529839
Ryan Dunk,Biology,4,3,100%,1,3158971,https://www.ratemyprofessors.com/professor/3158971
Abdulrahman Loay,Chemistry,2.4,3.6,37.037%,54,2227054,https://www.ratemyprofessors.com/professor/2227054
Stacy Farina,Biology,5,1.6,100%,11,2566398,https://www.ratemyprofessors.com/professor/2566398
Kola Abimbola ,Philosophy,3.7,3.3,42.8571%,10,1934642,https://www.ratemyprofessors.com/professor/1934642
Cheryl Kiken,English,4.4,2.5,89.2857%,28,2524854,https://www.ratemyprofessors.com/professor/2524854
Joseph Asike,Philosophy,3.9,2,72.7273%,21,792511,https://www.ratemyprofessors.com/professor/792511
Andre  Williams,Mathematics,3.4,2,40%,10,2865619,https://www.ratemyprofessors.com/professor/2865619
Brielle Brookins,Psychology,3.2,3.2,55%,40,2617312,https://www.ratemyprofessors.com/professor/2617312
Oral Johns,Ethnic Studies,1.3,4.9,7.6923%,13,2487448,https://www.ratemyprofessors.com/professor/2487448
Mathurin Houngnikpo,African Studies,1.3,4.2,0%,6,2940195,https://www.ratemyprofessors.com/professor/2940195
David Green,English,3.5,3.7,100%,3,2142319,https://www.ratemyprofessors.com/professor/2142319
James Pope,Political Science,3.7,3.1,75%,16,1381391,https://www.ratemyprofessors.com/professor/1381391
Dharmaraj Raghavan,Chemistry,2.9,4.1,50%,14,2682284,https://www.ratemyprofessors.com/professor/2682284
Ja'la Wourman,English,5,2.3,100%,6,3048173,https://www.ratemyprofessors.com/professor/3048173
Amy Lewis,Classics,3.5,2.8,75%,4,3137417,https://www.ratemyprofessors.com/professor/3137417
Sydni Turner,Sociology,5,1.3,100%,3,3057105,https://www.ratemyprofessors.com/professor/3057105
Jide Iwarere,Finance,2,4.1,0%,18,858631,https://www.ratemyprofessors.com/professor/858631
Nathalie Pierre,History,2.8,3.5,41.6667%,12,2753260,https://www.ratemyprofessors.com/professor/2753260
Alla Tovares,English,4.9,2.2,100%,17,920546,https://www.ratemyprofessors.com/professor/920546
Patricia Worthy,Law,3.6,4,66.6667%,7,1323,https://www.ratemyprofessors.com/professor/1323
Yetunde Akinola,Psychology,4.8,1.9,95.8333%,24,2951505,https://www.ratemyprofessors.com/professor/2951505
Johnson Ige,Classics,3.9,3.2,71.4286%,16,2060381,https://www.ratemyprofessors.com/professor/2060381
Preethi Chandran,Engineering,3.3,4.3,66.6667%,3,2180156,https://www.ratemyprofessors.com/professor/2180156
