Name,Department,Overall_Rating,Difficulty,Would_Take_Again_Pct,Num_Ratings,RMP_ID,RMP_URL
Clement Lutterodt,Mathematics,1.9,4.1,-1%,8,1193821,https://www.ratemyprofessors.com/professor/1193821
Vernetta Young,Sociology,2.7,3.4,-1%,9,388926,https://www.ratemyprofessors.com/professor/388926
James Mauer,History,4.5,2,-1%,1,1781689,https://www.ratemyprofessors.com/professor/1781689
Jennifer Jordan,English,2.4,3.6,-1%,10,884486,https://www.ratemyprofessors.com/professor/884486
Ashley Torrence,Communication,2.3,3.3,-1%,3,1265828,https://www.ratemyprofessors.com/professor/1265828
Babalola Cole,Political Science,2.7,3.7,-1%,6,1150120,https://www.ratemyprofessors.com/professor/1150120
Tomeka Scales,Communication,4.3,2.3,-1%,4,1561790,https://www.ratemyprofessors.com/professor/1561790
Kofi Dompere,Business,2.3,3.4,-1%,8,827570,https://www.ratemyprofessors.com/professor/827570
Gerald Burton,Management,4.3,2.3,-1%,13,286383,https://www.ratemyprofessors.com/professor/286383
Joy Lewis,African Studies,3.9,1.7,-1%,11,1188994,https://www.ratemyprofessors.com/professor/1188994
Josephine Akintonde,Nursing,3,2.5,-1%,2,1213850,https://www.ratemyprofessors.com/professor/1213850
"Edmonds Edmonds,",Nursing,4.5,1,-1%,1,1727717,https://www.ratemyprofessors.com/professor/1727717
Terri Adams-Fuller,Sociology,4.4,2.3,-1%,19,547600,https://www.ratemyprofessors.com/professor/547600
Jude Okpala,English,2.1,4,-1%,16,635340,https://www.ratemyprofessors.com/professor/635340
David Woods,Communication,4.5,2.5,-1%,2,1241528,https://www.ratemyprofessors.com/professor/1241528
Outram Hussey,Architecture,5,4,-1%,2,1351289,https://www.ratemyprofessors.com/professor/1351289
Donn Davis,Political Science,2.3,3.8,-1%,6,882102,https://www.ratemyprofessors.com/professor/882102
Constance Greene,English,4.9,1.9,-1%,10,751376,https://www.ratemyprofessors.com/professor/751376
William Martin,Mathematics,1.2,4.7,-1%,3,1784461,https://www.ratemyprofessors.com/professor/1784461
Folaham Ayorinde,Chemistry,3,4.2,-1%,13,1076616,https://www.ratemyprofessors.com/professor/1076616
Kendra Parker,English,3.8,3,-1%,3,1412762,https://www.ratemyprofessors.com/professor/1412762
Andrew Spieldenner,Communication,4.5,1.6,-1%,5,1047197,https://www.ratemyprofessors.com/professor/1047197
Jude C. Asike,Philosophy,3.9,2.3,-1%,9,1557922,https://www.ratemyprofessors.com/professor/1557922
Father Carl Hayden,History,2.7,3.7,-1%,6,658945,https://www.ratemyprofessors.com/professor/658945
Connie Smith,Communication,4.5,3,-1%,1,1613048,https://www.ratemyprofessors.com/professor/1613048
Thyra Benoit,Social Work,4.5,1,-1%,1,1456010,https://www.ratemyprofessors.com/professor/1456010
Nubras Samayeen,Architecture,3.4,2.6,-1%,5,1478572,https://www.ratemyprofessors.com/professor/1478572
Peter A. Sola,Education,5,1,-1%,2,1601583,https://www.ratemyprofessors.com/professor/1601583
Joe Selmon,Fine Arts,2.8,3,-1%,8,388493,https://www.ratemyprofessors.com/professor/388493
Brent Alleyne,Art,4.8,2.6,-1%,5,1710251,https://www.ratemyprofessors.com/professor/1710251
Reginald Miles,Communication,3.8,3.7,-1%,6,750760,https://www.ratemyprofessors.com/professor/750760
Donna Harrington,English,2.5,3,-1%,14,1353844,https://www.ratemyprofessors.com/professor/1353844
Danielle Brown,Psychology,2.1,4.4,-1%,11,1570352,https://www.ratemyprofessors.com/professor/1570352
Senora Simpson,Health Science,2.5,3.5,-1%,2,1779411,https://www.ratemyprofessors.com/professor/1779411
Alicia Petersen,Political Science,3.5,2,-1%,6,1307991,https://www.ratemyprofessors.com/professor/1307991
Clint Wilson,Communication,3.4,1.3,-1%,4,750758,https://www.ratemyprofessors.com/professor/750758
Aaron Sinclar,Communication,5,1,-1%,1,1783586,https://www.ratemyprofessors.com/professor/1783586
Curtis Martin,Mathematics,1.3,4.4,-1%,14,829465,https://www.ratemyprofessors.com/professor/829465
Bridget Todd,English,4,2.3,-1%,4,1635782,https://www.ratemyprofessors.com/professor/1635782
Ofori Ansa,Fine Arts,3.5,1.1,-1%,9,819307,https://www.ratemyprofessors.com/professor/819307
Danielle Boudreaux,English,4.6,2.5,-1%,31,970265,https://www.ratemyprofessors.com/professor/970265
Lesia Quamina,Accounting,4.8,3,-1%,3,1525587,https://www.ratemyprofessors.com/professor/1525587
Pat Wheeler,Communication,1,4,-1%,3,829388,https://www.ratemyprofessors.com/professor/829388
Agnes Day,Medicine,1,4,-1%,1,1787068,https://www.ratemyprofessors.com/professor/1787068
Carol Beane,Languages,3.6,2.2,-1%,15,796021,https://www.ratemyprofessors.com/professor/796021
Carl Chancellor,Journalism,5,1,-1%,1,1785815,https://www.ratemyprofessors.com/professor/1785815
Demetrius Venable,Science,1,5,-1%,1,1674399,https://www.ratemyprofessors.com/professor/1674399
Esther Kahn,Languages,4.1,1.3,-1%,14,971427,https://www.ratemyprofessors.com/professor/971427
Ruby Gourdine,Social Work,3.5,3,-1%,2,1456021,https://www.ratemyprofessors.com/professor/1456021
Okachi Kpalukwu,English,3.8,2.1,-1%,18,1022116,https://www.ratemyprofessors.com/professor/1022116
Marjorie Valbrun,Communication,2.5,4,-1%,1,1751298,https://www.ratemyprofessors.com/professor/1751298
Debyii Thomas,Communication,4.8,2.4,-1%,18,628595,https://www.ratemyprofessors.com/professor/628595
Elana Anderson,African Studies,4.8,3,-1%,2,1638281,https://www.ratemyprofessors.com/professor/1638281
Mary Mc Kenna,Biology,4.9,3.4,-1%,5,823882,https://www.ratemyprofessors.com/professor/823882
Jerome Quarterman,Management,4.5,2,-1%,5,1250313,https://www.ratemyprofessors.com/professor/1250313
Agyen Appiah,Languages,3.4,3,-1%,18,362093,https://www.ratemyprofessors.com/professor/362093
Louis Wright,Political Science,2.7,4.1,-1%,15,944171,https://www.ratemyprofessors.com/professor/944171
James H. Phillips,Fine Arts,3.1,1.2,-1%,5,740998,https://www.ratemyprofessors.com/professor/740998
Gigi Hinton,Journalism,0,0,-1%,0,1000493,https://www.ratemyprofessors.com/professor/1000493
Brittney Autry,Psychology,4.5,2,-1%,1,1664824,https://www.ratemyprofessors.com/professor/1664824
Mia Thompson Ray,Biology,5,1.7,-1%,3,1707968,https://www.ratemyprofessors.com/professor/1707968
Gregory Fleming,Mathematics,4.9,1,-1%,4,1624074,https://www.ratemyprofessors.com/professor/1624074
Darrick Morris,English,4.7,1.2,-1%,16,998839,https://www.ratemyprofessors.com/professor/998839
Joshua Leslie,Mathematics,1.5,3.6,-1%,12,484081,https://www.ratemyprofessors.com/professor/484081
Daniel Wiley,Mathematics,2,3.5,-1%,12,640449,https://www.ratemyprofessors.com/professor/640449
Aleida Rodriguez,Languages,2.9,1.6,-1%,7,912604,https://www.ratemyprofessors.com/professor/912604
Marvin McAllister,Fine Arts,2.7,3.7,-1%,6,486888,https://www.ratemyprofessors.com/professor/486888
. Harper,Health Science,4.2,1,-1%,5,795159,https://www.ratemyprofessors.com/professor/795159
Theodore Bremner,Biology,3.2,4.7,-1%,3,1077780,https://www.ratemyprofessors.com/professor/1077780
Peter Fettner,Philosophy,2,3.7,-1%,3,1352304,https://www.ratemyprofessors.com/professor/1352304
Daren Conrad,Economics,4.5,1,-1%,3,1080480,https://www.ratemyprofessors.com/professor/1080480
Priscila Chaverri,Biology,2.8,4,0%,2,990826,https://www.ratemyprofessors.com/professor/990826
Valerie Cummings,Journalism,1,3,-1%,1,1242160,https://www.ratemyprofessors.com/professor/1242160
Olayiwola Abegunrin,Political Science,3.9,1.3,-1%,9,995509,https://www.ratemyprofessors.com/professor/995509
Louis Stewart,Accounting,1.8,4.4,-1%,14,1113842,https://www.ratemyprofessors.com/professor/1113842
Summer Jackson-Cole,Communication,4,2,-1%,2,1582021,https://www.ratemyprofessors.com/professor/1582021
Soleman Abu,Social Work,4.5,2,-1%,1,1456030,https://www.ratemyprofessors.com/professor/1456030
Dennis Rodgers,Political Science,5,3,-1%,1,1098511,https://www.ratemyprofessors.com/professor/1098511
George Epting,Theater,4.1,3.8,-1%,4,1223814,https://www.ratemyprofessors.com/professor/1223814
Pauline Green,Nursing,4.4,3.7,-1%,7,1167993,https://www.ratemyprofessors.com/professor/1167993
Shelley Powers,Health Science,1,5,-1%,1,912545,https://www.ratemyprofessors.com/professor/912545
