Course_Code,Section,Course_Name,Status,Instructor,Room,Days,Time
ACAD 007,1,College Study Skills,Open,N/A,ASB-105,Wednesday,4:10 PM - 5:00 PM
ACAD 007,2,College Study Skills,Open,N/A,ASB-105,Thursday,4:10 PM - 5:00 PM
ACAD 100,1,Mecca Made: Student Success at Howard University  (HD-DCP),Open,Kyndra Middleton,N/A,Tuesday,5:30 PM - 7:00 PM
ACCT 201,1,Accounting Principles I,Closed,Samuel Akin,CB4-200,"Monday, Wednesday",9:40 AM - 11:00 AM
ACCT 201,2,Accounting Principles I,Closed,Tina Owens,CB4-200,"Tuesday, Thursday",8:10 AM - 9:30 AM
ACCT 201,3,Accounting Principles I,Open,Samuel Akin,CB4-218,"Monday, Wednesday",8:10 AM - 9:30 AM
ACCT 201,4,Accounting Principles I,Closed,Andria Hill,CB4-317,"Tuesday, Thursday",12:40 PM - 2:00 PM
ACCT 201,5,Accounting Principles I,Closed,Keely Monge,CB4-218,"Monday, Wednesday",5:10 PM - 6:30 PM
ACCT 201,6,Accounting Principles I,Open,James Shelton,CB4-322,"Tuesday, Thursday",6:40 PM - 8:00 PM
ACCT 201,7,Accounting Principles I,Closed,Samuel Akin,CB4-217,"Tuesday, Thursday",9:40 AM - 11:00 AM
ACCT 201,8,Accounting Principles I,Closed,N/A,CB4-216,"Monday, Wednesday",6:40 PM - 8:00 PM
ACCT 202,1,Accounting Principles II,Open,Jean Wells,CB4-218,"Tuesday, Thursday",8:10 AM - 9:30 AM
ACCT 202,2,Accounting Principles II,Open,Tina Owens,CB4-218,"Tuesday, Thursday",12:40 PM - 2:00 PM
ACCT 202,3,Accounting Principles II,Open,Tina Owens,CB4-216,"Tuesday, Thursday",9:40 AM - 11:00 AM
ACCT 202,4,Accounting Principles II,Closed,Samuel Akin,CB4-417,"Tuesday, Thursday",8:10 AM - 9:30 AM
ACCT 202,5,Accounting Principles II,Closed,Kennie Edwards,CB4-216,"Monday, Wednesday",5:10 PM - 6:30 PM
ACCT 202,6,Accounting Principles II,Closed,Byron Henry,N/A,"Tuesday, Thursday",6:40 PM - 8:00 PM
ACCT 202,7,Accounting Principles II,Closed,N/A,CB4-317,"Tuesday, Thursday",5:10 PM - 6:30 PM
ACCT 305,1,Financial Statement Analysis I,Closed,Ratna Dey,CB4-300A,"Tuesday, Thursday",9:40 AM - 11:00 AM
ACCT 310,1,Intermediate Accounting I,Closed,Andria Hill,CB4-417,"Tuesday, Thursday",9:40 AM - 11:00 AM
ACCT 311,1,Intermediate Accounting II,Open,Lucy Lim,CB4-300B,"Monday, Wednesday",12:40 PM - 2:00 PM
ACCT 318,1,Tax Principles & Procedures,Open,Jean Wells,CB4-300B,"Tuesday, Thursday",9:40 AM - 11:00 AM
ACCT 320,1,Cost Accounting I,Open,Andria Hill,CB4-300B,"Tuesday, Thursday",8:10 AM - 9:30 AM
ACCT 340,1,Auditing I,Open,Ronald Bozant,CB4-567,"Tuesday, Thursday",3:40 PM - 5:00 PM
ACCT 350,1,Accounting Information Systems,Open,Keely Monge,CB4-217,"Monday, Wednesday",3:40 PM - 5:00 PM
ACCT 385,1,Forensic Accounting,Open,Jean Wells,CB4-300B,"Tuesday, Thursday",2:10 PM - 3:30 PM
AERO 001,1,AS 100 Leadership Lab I,Open,Carlos Summers,N/A,Wednesday,6:00 AM - 8:00 AM
AERO 003,1,AS 200 Leadership Lab I,Open,Abigail Ono,N/A,Wednesday,6:00 AM - 8:00 AM
AERO 011,1,AS 100 - Foundations of the Air Force I,Open,Carlos Summers,DGH-110,Tuesday,7:30 AM - 8:30 AM
AERO 011,2,Foundations of the Air Force I,Open,Carlos Summers,DGH-110,Wednesday,8:30 AM - 9:30 AM
AERO 021,1,AS200: Team and Leadership Fundamentals I,Open,Abigail Ono,DGH-104,Tuesday,7:30 AM - 8:30 AM
AERO 021,2,AS200: Team and Leadership Fundamentals I,Open,Abigail Ono,DGH-2,Wednesday,9:30 AM - 10:30 AM
AERO 105,1,AS 300 Leadership Lab I,Open,Carlos Summers,N/A,Wednesday,6:00 AM - 8:00 AM
AERO 107,1,AS 400 Leadership Lab I,Open,Angela Cowan,N/A,Wednesday,6:00 AM - 8:00 AM
AERO 131,1,AS300: Leading People and Effective Communication I,Open,Carlos Summers,DGH-2,Thursday,7:30 AM - 10:30 AM
AERO 141,1,"AS400: National Security, Leadership Responsibilities and Commissioning Preparation I",Open,Angela Cowan,DGH-2,Tuesday,7:30 AM - 10:30 AM
AFRO 005,2,Intro Afro-American Studies I,Closed,Greg Carr,EJH-G09A,"Tuesday, Thursday",8:10 AM - 9:30 AM
AFRO 005,3,Intro Afro-American Studies I,Closed,Lila Ammons,N/A,"Tuesday, Thursday",11:10 AM - 12:40 PM
AFRO 005,4,Intro Afro-American Studies I,Closed,Lila Ammons,N/A,"Tuesday, Thursday",2:10 PM - 3:30 PM
AFRO 005,6,Intro Afro-American Studies I,Closed,Sheneese Thompson,DGH-110,"Monday, Wednesday, Friday",11:10 AM - 12:00 PM
AFRO 005,7,Intro Afro-American Studies I,Closed,LaTasha Levy,LKH-B21,"Monday, Wednesday, Friday",11:10 AM - 12:00 PM
AFRO 005,16,Intro to Afro-American Studies I,Open,Mario Beatty,N/A,Thursday,7:30 PM - 9:00 PM
AFRO 005,18,Intro to Afro-American Studies I,Closed,Sheneese Thompson,N/A,Tuesday,5:30 PM - 6:30 PM
AFRO 006,3,Intro Afro-American Studies II,Closed,Valethia Watkins,ILH-116,"Tuesday, Thursday",12:40 PM - 2:00 PM
AFRO 085,1,Soph Directed Rdgs (honors),Open,Michael Ralph,N/A,N/A,N/A
AFRO 089,1,Junior Directed Reading-HONORS,Open,Michael Ralph,N/A,N/A,N/A
AFRO 093,1,Senior Directed Rdgs (honors),Open,Michael Ralph,N/A,N/A,N/A
AFRO 115,1,Seminar Black Aesthetics,Closed,Greg Carr,LKH-105/107,"Tuesday, Thursday",3:40 PM - 5:00 PM
AFRO 121,2,Special Topics in Black Studies,Open,Greg Carr,LKH-105/107,"Tuesday, Thursday",9:40 AM - 11:00 AM
AFRO 121,3,"Special Topics: ""Readings in Civil Rights History""",Open,Joe Leonard,DGH-114,Wednesday,5:00 PM - 7:00 PM
AFRO 121,4,Special Topics: Black Power at Home and Abroad,Closed,LaTasha Levy,LKH-B21,"Monday, Wednesday, Friday",12:10 PM - 1:00 PM
AFRO 123,1,Intro to Egyptian Hieroglyphs,Closed,Mario Beatty,ILH-103,"Tuesday, Thursday",12:40 PM - 2:00 PM
AFRO 129,1,Black Experience in Film,Closed,Sheneese Thompson,ILH-116,"Monday, Wednesday, Friday",1:10 PM - 2:00 PM
AFRO 159,1,Senior Seminar,Closed,Mario Beatty,DGH-106,"Tuesday, Thursday",2:10 PM - 3:30 PM
AFRO 163,1,Black Experience in Caribbean,Closed,Nikongo Nikongo,DGH-19,"Tuesday, Thursday",8:10 AM - 9:30 AM
AFRO 170,1,Directed Research for Majors,Open,Michael Ralph,N/A,N/A,N/A
AFRO 170,2,Directed Research,Open,Nikongo Nikongo,N/A,N/A,N/A
AFRO 176,1,Practicum/Internship,Open,Michael Ralph,N/A,N/A,N/A
AFRO 185,2,Black Women in America,Closed,Valethia Watkins,ILH-116,"Tuesday, Thursday",2:10 PM - 3:30 PM
AFRO 185,3,Black Women in America,Closed,LaTasha Levy,LKH-105/107,"Monday, Wednesday, Friday",1:10 PM - 2:00 PM
AFRO 193,1,West Indians in America,Open,Nikongo Nikongo,DGH-207,"Tuesday, Thursday",9:40 AM - 11:00 AM
AFRO 301,1,"Racism, Law & Injustice",Closed,Nikongo Nikongo,DGH-110,"Tuesday, Thursday",12:40 PM - 2:00 PM
AFRO 775,1,Prep-Prac.-Writing (3rd Wrtg),Closed,Sheneese Thompson,DGH-106,"Monday, Wednesday, Friday",12:10 PM - 1:00 PM
AFST 101,2,Af World: Intro to Cont Africa,Waitlist,Francis Wiafe-Amoako,DGH-120,"Monday, Wednesday, Friday",9:10 AM - 10:00 AM
AFST 101,3,Af World: Intro to Cont Africa,Waitlist,Francis Wiafe-Amoako,DGH-102,"Monday, Wednesday, Friday",10:10 AM - 11:00 AM
AFST 101,4,Af World: Intro to Cont Africa,Open,Msia Clark,BUR-2011,"Monday, Wednesday, Friday",11:10 AM - 12:00 PM
AFST 101,6,Af World: Intro to Cont Africa,Waitlist,Josepha Musabyemariya Nelson,N/A,"Monday, Wednesday, Friday",12:10 PM - 1:00 PM
AFST 101,7,Intro to Contemporary Africa,Open,Florie Bugarin,DGH-102,"Tuesday, Thursday",9:40 AM - 11:00 AM
AFST 101,8,Intro to Contemporary Africa,Closed,Esther Lisanza,MIN-124,"Tuesday, Thursday",12:40 PM - 2:00 PM
AFST 101,9,Intro to Contemporary Africa,Closed,Traci Wyatt,ASB-213/215,"Tuesday, Thursday",2:10 PM - 3:30 PM
AFST 101,12,Intro to Contemporary Africa,Closed,Josepha Musabyemariya Nelson,N/A,"Tuesday, Thursday",10:00 AM - 11:30 AM
AFST 101,13,Intro to Contemporary Africa,Open,Francis Wiafe-Amoako,N/A,"Tuesday, Thursday",9:40 AM - 11:00 AM
AFST 101,14,Intro to Contemporary Africa,Open,Francis Wiafe-Amoako,N/A,"Tuesday, Thursday",9:40 AM - 11:00 AM
AFST 101,16,Intro to Contemporary Africa,Closed,Josepha Musabyemariya Nelson,N/A,"Monday, Wednesday, Friday",11:10 AM - 12:00 PM
AFST 101,18,Intro to Contemporary Africa,Open,Esther Lisanza,LKH-P08,"Monday, Wednesday, Friday",11:10 AM - 12:00 PM
AFST 101,19,Intro to Contemporary Africa,Open,Mohamed Camara,LKH-P08,"Monday, Wednesday, Friday",10:10 AM - 11:00 AM
AFST 101,21,Intro to Contemporary Africa,Open,Mohamed Camara,HMB-202,"Tuesday, Thursday",2:10 PM - 3:30 PM
AFST 105,1,African Language & Culture,Open,Esther Lisanza,DGH-114,"Tuesday, Thursday",11:10 AM - 12:30 PM
AFST 106,1,HIV/AIDS in Africa,Closed,Krista Johnson,DGH-218,"Tuesday, Thursday",11:10 AM - 12:30 PM
AFST 110,2,Afr Dev & Underdevelop,Open,Anita Plummer,GS-101,Wednesday,11:40 AM - 2:00 PM
AFST 111,2,African Systems of Thought,Open,Amsale Alemu,DGH-26,"Tuesday, Thursday",2:40 PM - 4:00 PM
AFST 120,1,Traff.&Destr. African Heritage,Open,Florie Bugarin,N/A,"Tuesday, Thursday",12:40 PM - 2:00 PM
AFST 122,1,ST: Blk Wm Pop Culture,Closed,Msia Clark,LVC-1028,"Tuesday, Thursday",12:40 PM - 2:00 PM
AFST 123,1,Women in Afr Civil & Trad,Open,Traci Wyatt,DGH-211,"Monday, Wednesday, Friday",12:10 PM - 1:00 PM
AFST 131,1,African Cult Form & Identities,Open,Traci Wyatt,EJH-224/226,"Monday, Wednesday, Friday",10:10 AM - 11:00 AM
AFST 133,1,Cont. & Regional Organizations,Open,Chambi Chachage,DGH-211,"Tuesday, Thursday",9:10 AM - 10:30 AM
AFST 183,1,Internship in African Study,Open,Esther Lisanza,N/A,N/A,N/A
AFST 184,1,Directed Research,Open,Florie Bugarin,N/A,N/A,N/A
AHCC 003,1,Medical Terminology,Open,Lori Garibay,N/A,N/A,N/A
AHCC 003,2,Medical Terminology(online),Open,Lennox Graham,N/A,Monday,10:00 AM - 11:40 AM
AHCC 110,2,General Orientation,Open,Lennox Graham,N/A,Tuesday,1:10 PM - 2:50 PM
AHCC 301,1,Ethics for Hlth Professionals,Open,Oral John,N/A,Wednesday,5:30 PM - 7:10 PM
AHCC 301,2,Ethics for Hlth Professionals,Closed,Karen Turner,N/A,Wednesday,5:30 PM - 7:10 PM
AKAN 001,1,Akan Twi I,Open,N/A,DGH-211,"Tuesday, Thursday",2:10 PM - 3:30 PM
AKAN 002,1,Akan Twi II,Open,N/A,LKH-118,"Tuesday, Thursday",11:10 AM - 12:30 PM
AKAN 003,1,Akan Twi III,Open,Sally Akomabea Vianna,LKH-323,"Monday, Wednesday, Friday",2:10 PM - 3:00 PM
AKAN 004,1,Akan Twi IV,Open,Sally Akomabea Vianna,LKH-244,"Monday, Wednesday, Friday",1:10 PM - 2:00 PM
AMHR 001,1,Amharic I,Open,Tafessework Gebeyehu,LKH-340,"Monday, Wednesday, Friday",5:10 PM - 6:00 PM
AMHR 002,1,Amharic II,Open,Tafessework Gebeyehu,DGH-218,"Monday, Wednesday, Friday",1:10 PM - 2:00 PM
AMHR 003,1,Amharic III,Open,Tafessework Gebeyehu,LKH-365,"Monday, Wednesday, Friday",2:10 PM - 3:00 PM
AMHR 004,1,Amharic IV,Open,Tafessework Gebeyehu,LKH-365,"Monday, Wednesday, Friday",3:10 PM - 4:00 PM
AMHR 190,1,Amhairc Indpendent Study,Open,Tafessework Gebeyehu,DGH-108,"Tuesday, Thursday",9:40 AM - 10:30 AM
ANTH 110,3,Intro to Cult Anthropology,Closed,Arvilla Payne-Jackson,N/A,"Tuesday, Thursday",11:10 AM - 12:30 PM
ANTH 110,4,Intro to Cult Anthropology,Closed,Arvilla Payne-Jackson,N/A,"Tuesday, Thursday",12:40 PM - 2:00 PM
ARAB 001,1,Arabic I,Open,Eman Hussein,LKH-257,"Tuesday, Thursday",12:40 PM - 2:00 PM
ARAB 001,2,Arabic I,Open,Raslan Moutraji,LKH-B2,"Monday, Wednesday, Friday",9:10 AM - 10:00 AM
ARAB 002,1,Arabic II,Open,Raslan Moutraji,DGH-104,"Monday, Wednesday, Friday",10:10 AM - 11:00 AM
ARAB 002,2,Arabic II,Open,Eman Hussein,DGH-110,"Tuesday, Thursday",9:40 AM - 11:00 AM
ARAB 003,1,Arabic III,Open,Raslan Moutraji,LKH-B2,"Monday, Wednesday, Friday",12:10 PM - 1:00 PM
ARAB 004-1 - Arabic IV,N/A,Arabic IV,Open,Eman Hussein,LKH-118,"Tuesday, Thursday",2:10 PM - 3:30 PM
ARAB 040,1,Grammar Review,Open,Eman Hussein,LKH-118,"Tuesday, Thursday",3:40 PM - 5:00 PM
ARAB 051,1,Oral Expression II,Open,Eman Hussein,LKH-118,"Tuesday, Thursday",5:10 PM - 6:30 PM
ARAB 190,1,Independent Study,Open,Raslan Moutraji,N/A,N/A,N/A
ARAB 191,1,Independent Study,Open,Eman Hussein,N/A,N/A,N/A
ARCH 100,1,Arch. Freshman Seminar,Open,Bradford Grant,HMB-201,Monday,9:10 AM - 10:00 AM
ARCH 160,1,Foundations in Design I,Closed,Bradford Grant,HMB-201,Monday,10:10 AM - 12:00 PM
ARCH 160,2,Foundations in Design I,Open,Vinson Bert Hustvedt Camacho,HMB-201,Monday,10:10 AM - 12:00 PM
ARCH 160,3,Foundations in Design I,Open,William Taylor,HMB-201,Monday,10:10 AM - 12:00 PM
ARCH 160,4,Foundations in Design I,Open,Brian Serrette,HMB-201,Monday,10:10 AM - 12:00 PM
ARCH 211,1,Surv.of Architectural  Hist II,Open,David Sledge,HMB-201,"Tuesday, Thursday",2:10 PM - 3:30 PM
ARCH 232,1,Wmn in ARCH/Design-20th Cen,Open,Hazel Edwards,HMB-B02D,"Monday, Wednesday",10:10 AM - 11:30 AM
ARCH 240,1,Building Materials & Methods,Open,Bradford Carpenter,HMB-201,"Tuesday, Thursday",10:40 AM - 12:00 PM
ARCH 261,1,Architecture Design I,Open,David Sledge,HMB-2nd year studio,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 261-2 - Architecture Design I,N/A,Architecture Design I,Closed,Cametrick Nesmith,HMB-2nd year studio,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 261-3 - Architecture Design I,N/A,Architecture Design I,Open,Jorel Sanchez Soto,HMB-2nd year studio,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 261-4 - Architecture Design I,N/A,Architecture Design I,Open,Brian Serrette,HMB-2nd year studio,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 270,1,Digital Tools in Arch. I,Closed,Madison Summers,HMB-201,Tuesday,5:10 PM - 8:00 PM
ARCH 270,2,Digital Tools in Arch. I,Closed,Rashard Willingham,HMB-201,Tuesday,5:10 PM - 8:00 PM
ARCH 273,1,Digtal Tools III,Open,Toriano Davis,HMB-150,Tuesday,5:10 PM - 8:00 PM
ARCH 273-2 - Digtal Tools III,N/A,Digtal Tools III,Open,Rashard Willingham,HMB-201,Thursday,5:10 PM - 8:00 PM
ARCH 303-1 - ARCH History & Theory III,N/A,ARCH History & Theory III,Open,William Taylor,HMB-B02D,"Tuesday, Thursday",2:10 PM - 3:30 PM
ARCH 340,1,Architect. Struct. I (Statics),Open,Eden Yemesegen,HMB-201,"Tuesday, Thursday",8:10 AM - 9:30 AM
ARCH 342,1,Environmental Sys. in Arch.,Open,Nea Maloo,HMB-150,"Tuesday, Thursday",2:10 PM - 3:30 PM
ARCH 364,1,Architecture Design III,Open,Yiselle Santos Rivera,HMB-3rd Year studio,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 364,3,Architecture Design III,Open,Eric Marks,HMB-3rd Year studio,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 364,4,Architecture Design III,Closed,Edward Dunson,HMB-3rd Year studio,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 408,1,UG Architecture Indep. Study,Open,Kristina Crenshaw,N/A,N/A,N/A
ARCH 408,3,UG Architecture Indep. Study,Open,Farhana Ferdous,N/A,N/A,N/A
ARCH 430,1,Health and Design,Open,Farhana Ferdous,HMB-150,"Wednesday, Friday",11:10 AM - 12:30 PM
ARCH 466,1,Architecture Design V,Open,Kristina Crenshaw,HMB-206,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 466,3,Architecture Design V,Open,N/A,HMB-206,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 466-2 - Architecture Design V,N/A,Architecture Design V,Open,Otto Condon,HMB-206,"Monday, Wednesday, Friday",2:10 PM - 5:00 PM
ARCH 542,1,Mng Sustain Dsgn & Decarb Proj,Open,Nea Maloo,HMB-252,"Tuesday, Thursday",3:40 PM - 5:00 PM
ARCH 652,1,Urban Design Case Studies,Open,Kentrell Lodge,HMB-201,"Tuesday, Thursday",3:40 PM - 5:00 PM
ARTA 011,1,Painting I,Waitlist,Summer Brown,LVC-2012,Wednesday,4:10 PM - 7:00 PM
ARTA 013,1,Painting III - Mixed Media,Open,James Phillips,LVC-2012,Wednesday,1:10 PM - 4:00 PM
ARTA 016,1,Figure Painting I,Open,Charles Jean Pierre,LVC-2012,Thursday,5:10 PM - 8:00 PM
ARTA 019,1,Public Art I,Open,James Phillips,LVC-2012,Thursday,9:40 AM - 12:30 PM
ARTC 121,1,Ceramics I,Closed,Reginald Pointer,LVC-2003,Tuesday,1:10 PM - 4:00 PM
ARTC 122,1,Ceramics II,Closed,Reginald Pointer,LVC-2003,Wednesday,1:10 PM - 4:00 PM
ARTC 138,1,Ceramic Sculpture,Closed,Reginald Pointer,LVC-2003,Tuesday,4:10 PM - 7:00 PM
ARTD 103,2,Design History,Open,Cheryl Miller,N/A,Monday,9:10 AM - 12:00 PM
ARTD 104,1,Intro to Digital Design,Open,Sydnea Lewis,LVC-2016,Wednesday,9:10 AM - 12:00 PM
ARTD 105,1,Typography I,Open,Mark Bartley,LVC-2019,Tuesday,9:40 AM - 12:30 PM
ARTD 105,2,Typography I,Open,Jo Spiker,LVC-2019,Tuesday,2:10 PM - 5:00 PM
ARTD 106,1,Design for Advertising I,Open,Jo Spiker,LVC-2016,Monday,1:10 PM - 4:00 PM
ARTD 109,1,Reproduction and Technique,Open,Rahsaan Jackson,LVC-2016,Monday,4:10 PM - 7:00 PM
ARTD 110,1,Studio Problems in Design,Open,Sydnea Lewis,LVC-2016,Wednesday,1:10 PM - 4:00 PM
ARTD 112,1,Prod & Portfolio Techniques I,Open,Maleke Glee,LVC-2016,Thursday,2:10 PM - 5:00 PM
ARTD 115,1,Digital Design I,Open,Sydnea Lewis,LVC-2016,Thursday,9:40 AM - 12:30 PM
ARTD 118,1,Newspaper & Magazine Design I,Open,Bridgette Blackwell,LVC-2019,Tuesday,5:10 PM - 8:00 PM
ARTD 119,1,Internship in Design,Open,Mark Bartley,N/A,N/A,N/A
ARTD 126,1,Web Dev & Interactive Media,Open,Bridgette Blackwell,LVC-2019,Wednesday,4:10 PM - 7:00 PM
ARTE 080,1,Comp in the Arts & Dig Imaging,Open,Alexander McSwain,UGL-L036,Wednesday,9:10 AM - 12:00 PM
ARTE 083,2,2D Animation,Open,N/A,UGL-L036,Thursday,9:40 AM - 12:30 PM
ARTE 086,1,Multi-Media,Open,Chelsea Jones,UGL-L036,Tuesday,5:10 PM - 8:00 PM
ARTE 090,1,Digital Video Narratives,Open,Jacoby DuBose,UGL-L037,Tuesday,9:40 AM - 12:00 PM
ARTE 092,1,Independent Study II,Open,Alexander McSwain,N/A,Wednesday,5:10 PM - 8:00 PM
ARTE 093,1,Internship Electronic Studio,Open,Alexander McSwain,N/A,Monday,8:10 AM - 12:00 PM
ARTE 095,1,3D Modeling & Animation I,Open,Alexander McSwain,UGL-L037,Wednesday,2:10 PM - 5:00 PM
ARTE 100,1,Independent Study III,Open,Alexander McSwain,N/A,Wednesday,5:10 PM - 8:00 PM
ARTF 001,1,Drawing I,Closed,Ronald Anderson,LVC-2012,Tuesday,2:10 PM - 5:00 PM
ARTF 087,1,Two Dimensional Concepts I,Open,Summer Brown,LVC-2012,Wednesday,9:10 AM - 12:00 PM
ARTF 087,2,Two Dimensional Concepts I,Open,James Phillips,LVC-2012,Monday,9:10 AM - 12:00 PM
ARTF 089,2,Three Dimensional Concepts I,Closed,Ronald Anderson,LVC-2012,Monday,1:10 PM - 4:00 PM
ARTH 161,2,Art Appreciation,Closed,Sandy Bellamy,N/A,Thursday,5:10 PM - 8:00 PM
ARTH 161,3,Art Appreciation,Closed,Sandy Bellamy,N/A,Wednesday,5:10 PM - 8:00 PM
ARTH 161,4,Art Appreciation,Closed,ERIN JONES,N/A,"Tuesday, Thursday",4:40 PM - 6:00 PM
ARTH 161,5,Art Appreciation,Closed,ERIN JONES,N/A,"Monday, Wednesday",4:10 PM - 5:30 PM
ARTH 162,1,Intro to African Art History,Open,Lanisa Kitchiner,N/A,"Monday, Wednesday, Friday",3:10 PM - 4:00 PM
ARTH 162,2,Intro to African Art History,Open,Lanisa Kitchiner,N/A,"Monday, Wednesday, Friday",4:10 PM - 5:00 PM
ARTH 164,1,"Global Art, Design and Architecture I",Open,Ana Tallone,LVC-2022,"Tuesday, Thursday",1:40 PM - 3:00 PM
ARTH 164,3,"Global Art, Design and Architecture I",Open,Carol Rhodes Dyson,LVC-2022,"Monday, Wednesday",5:10 PM - 6:30 PM
ARTH 168,3,Internship in Art History,Open,Melanee Harvey,N/A,Friday,11:00 AM - 1:00 PM
ARTH 172,1,West African Art,Open,Kathryn Coney,LVC-2004,Thursday,3:10 PM - 6:00 PM
ARTH 178,1,African-American Art I,Open,Melanee Harvey,LVC-2022,"Monday, Wednesday",10:30 AM - 12:00 PM
ARTP 050,1,Basic Black&White Photography,Open,Allen Jackson,LVC-2008,"Monday, Wednesday",9:10 AM - 12:00 PM
ARTP 050,2,Basic Black&White Photography,Closed,Allen Jackson,LVC-2008,"Monday, Wednesday",1:10 PM - 4:00 PM
ARTP 050,3,Basic Black&White Photography,Closed,Alanna Fields,LVC-2008,"Tuesday, Thursday",9:40 AM - 12:30 PM
ARTP 051,1,Intermediate Photography,Closed,Larry Cook,LVC-2008,"Tuesday, Thursday",2:10 PM - 5:00 PM
ARTP 055,1,Photo Intern I,Open,Larry Cook,N/A,N/A,N/A
ARTP 059,1,IS: Study in Photo,Open,Larry Cook,N/A,N/A,N/A
ARTP 062,1,Photo History,Open,Ana Tallone,LVC-2022,"Tuesday, Thursday",10:40 AM - 12:00 PM
ARTP 085,1,Digital Photo,Closed,Alanna Fields,UGL-L036,Tuesday,2:10 PM - 5:00 PM
ARTP 085,3,Digital Photo,Open,Alanna Fields,UGL-L036,Thursday,2:10 PM - 5:00 PM
ARTP 603,1,Digital Darkroom,Open,Rahsaan Jackson,LVC-2016,Wednesday,4:10 PM - 7:00 PM
ARTR 003,1,Drawing III (Figure),Closed,Charles Jean Pierre,LVC-2012,Friday,4:10 PM - 7:00 PM
BCOM 320,1,Business Communications,Open,Sia Rose-Robinson,CB4-216,"Tuesday, Thursday",8:10 AM - 9:30 AM
BCOM 320,2,Business Communications,Waitlist,Lily Zeng,CB4-200,"Tuesday, Thursday",11:00 AM - 12:30 PM
BCOM 320,3,Business Communications,Waitlist,Dana Williams-Johnson,CB4-218,"Monday, Wednesday",11:10 AM - 12:30 PM
BCOM 320,4,Business Communications,Closed,Dana Williams-Johnson,CB4-428,"Monday, Wednesday",12:40 PM - 2:00 PM
BCOM 320,5,Business Communications,Open,Lily Zeng,CB4-217,"Tuesday, Thursday",12:40 PM - 2:00 PM
BECN 330,1,Managerial Economics,Open,Bahareh Eftekhari,CB4-417,"Monday, Wednesday",11:10 AM - 12:30 PM
BECN 330,2,Managerial Economics,Waitlist,Maru Etta-Nkwelle,CB4-417,"Tuesday, Thursday",2:10 PM - 3:30 PM
BECN 330,6,Managerial Economics,Closed,Eunpyo Hong,CB4-417,"Tuesday, Thursday",12:40 PM - 2:00 PM
BIOL 003,1,Life Science Non-Mjrs Biology,Closed,Laricca London,N/A,"Tuesday, Thursday",5:10 PM - 7:00 PM
BIOL 003,5,Life Science Non-Mjrs Biology,Closed,Laricca London,N/A,"Tuesday, Thursday",5:10 PM - 7:00 PM
BIOL 003,7,Life Science Non-Mjrs Biology,Closed,Uvetta Dozier,N/A,"Monday, Wednesday",6:10 PM - 8:00 PM
BIOL 003,8,Life Science Non-Mjrs Biology,Closed,Uvetta Dozier,N/A,"Monday, Wednesday",5:10 PM - 7:00 PM
BIOL 003,13,Life Science,Open,Swagota Roy,EJH-316/318/320,Monday,5:10 PM - 7:00 PM
BIOL 003,14,Life Science,Open,Swagota Roy,EJH-316/318/320,Monday,5:10 PM - 7:00 PM
BIOL 003,15,Life Science,Open,Swagota Roy,EJH-316/318/320,Wednesday,5:10 PM - 7:00 PM
BIOL 003,16,Life Science,Open,Swagota Roy,EJH-316/318/320,Wednesday,5:10 PM - 7:00 PM
BIOL 003,17,Life Science,Open,Swagota Roy,EJH-112,Wednesday,3:10 PM - 5:00 PM
BIOL 003,18,Life Science,Open,Swagota Roy,EJH-112,Wednesday,1:10 PM - 3:00 PM
BIOL 101,1,General Biology Lec/Lab,Closed,Douglas White,EJH-G09A,"Monday, Wednesday, Friday",9:10 AM - 10:00 AM
BIOL 101,2,General Biology Lec/Lab,Closed,Theodros Tadese,EJH-G09A,"Monday, Wednesday, Friday",5:10 PM - 6:00 PM
BIOL 101,3,General Biology Lec/Lab,Closed,Douglas White,EJH-G09A,"Monday, Wednesday, Friday",9:10 AM - 10:00 AM
BIOL 101,4,General Biology Lec/Lab,Closed,Theodros Tadese,EJH-G09A,"Monday, Wednesday, Friday",5:10 PM - 6:00 PM
BIOL 101,5,General Biology Lec/Lab,Closed,Douglas White,EJH-G09A,"Monday, Wednesday, Friday",9:10 AM - 10:00 AM
BIOL 101,6,General Biology Lec/Lab,Closed,Theodros Tadese,EJH-G09A,"Monday, Wednesday, Friday",5:10 PM - 6:00 PM
BIOL 101,7,General Biology Lec/Lab,Open,Theodros Tadese,EJH-G09A,"Monday, Wednesday, Friday",5:10 PM - 6:00 PM
BIOL 101,8,General Biology Lec/Lab,Open,Theodros Tadese,EJH-G09A,"Monday, Wednesday, Friday",5:10 PM - 6:00 PM
BIOL 101,9,General Biology Lec/Lab,Open,Theodros Tadese,EJH-G09A,"Monday, Wednesday, Friday",5:10 PM - 6:00 PM
