Course_Code,Section,Course_Name,Status,Instructor,Room,Days,Time
MEEG 418,1,Vibration Analysis,Open,Achille Messac,LKD-3108,"Monday, Wednesday",12:40 PM - 2:00 PM
MEEG 423,1,Thermal/Fluid Science Lab,Open,H Whitworth,LKD-G038,Monday,2:10 PM - 5:00 PM
MEEG 423,2,Thermal/Fluid Science Lab,Open,H Whitworth,LKD-G038,Monday,9:40 AM - 12:30 PM
MEEG 441,1,Senior Project I,Open,Dan Feng,LKD-3114,Wednesday,2:10 PM - 5:00 PM
MEEG 444,1,Robotics,Open,Naren Vira,LKD-3114,"Tuesday, Thursday",2:10 PM - 3:30 PM
MEEG 445,1,Undergraduate Research I,Open,Nadir Yilmaz,N/A,N/A,N/A
MEEG 450,1,Micro-Electro-Mech. Sys.(MEMS),Open,Nadir Yilmaz,LKD-3108,"Tuesday, Thursday",3:40 PM - 5:00 PM
MGMT 001,1,Career Counseling in Business,Open,Sia Rose-Robinson,CB4-235,Monday,9:40 AM - 11:00 AM
MGMT 001,2,Career Counseling in Business,Open,Sia Rose-Robinson,CB4-235,Monday,11:10 AM - 12:30 PM
MGMT 001,3,Career Counseling in Business,Open,Sia Rose-Robinson,CB4-235,Monday,2:10 PM - 3:30 PM
MGMT 010,1,Business Orientation,Open,Kanika Jones,CB4-235,"Tuesday, Thursday",9:40 AM - 11:00 AM
MGMT 010,2,Business Orientation,Open,Kanika Jones,CB4-235,"Tuesday, Thursday",11:10 AM - 12:30 PM
MGMT 010,3,Business Orientation,Open,Kanika Jones,CB4-235,"Tuesday, Thursday",2:10 PM - 3:30 PM
MGMT 020,1,Fresh. Honors Seminar I,Open,Christopher Oliver,CB4-235,"Tuesday, Thursday",5:10 PM - 7:00 PM
MGMT 022,1,Soph. Honors Sem I,Open,Christopher Oliver,CB4-218,"Tuesday, Thursday",5:10 PM - 7:00 PM
MGMT 024,1,Jr. Honors Sem I,Open,Christopher Oliver,CB4-217,"Tuesday, Thursday",5:10 PM - 7:00 PM
MGMT 026,1,Sr. Honors Sem I,Open,Christopher Oliver,CB4-200,"Tuesday, Thursday",5:10 PM - 7:00 PM
